Job Title,Years of Experience,Company Size,Industry,Location,Website Visits,Resources Downloaded,Attended Webinar,Email Open Rate,Email Click Rate,Responded to Survey,Days Since Last Interaction,Positive Lead
Assistant,23,Large,IT,Suburban,11,1,0,0.09,0.01,0,12,0
Manager,23,Large,Finance,Rural,24,0,0,0.0,0.03,0,28,0
Manager,24,Large,Finance,Rural,13,0,0,0.07,0.05,0,5,0
Executive,3,Large,Healthcare,Rural,13,0,0,0.1,0.07,0,5,0
Director,29,Large,IT,Suburban,14,0,0,0.16,0.04,0,11,0
Consultant,27,Medium,Manufacturing,Suburban,27,0,0,0.14,0.05,0,15,0
Executive,28,Small,Manufacturing,Suburban,7,0,0,0.05,0.08,0,11,0
Assistant,9,Large,IT,Suburban,13,0,0,0.16,0.04,0,9,0
Executive,21,Medium,Retail,Urban,13,1,0,0.07,0.1,0,13,0
Assistant,13,Small,Healthcare,Rural,49,0,0,0.2,0.0,0,16,0
Assistant,11,Medium,Manufacturing,Suburban,26,0,0,0.0,0.08,0,3,0
Assistant,18,Small,Retail,Rural,31,0,0,0.18,0.07,0,7,0
Director,22,Large,Finance,Rural,39,0,0,0.2,0.01,0,12,0
Manager,23,Large,Manufacturing,Urban,41,0,0,0.11,0.04,0,11,0
Director,23,Large,Manufacturing,Urban,2,0,0,0.01,0.1,0,28,0
Director,29,Large,Finance,Rural,20,0,0,0.05,0.05,0,23,0
Manager,4,Large,Manufacturing,Suburban,41,0,0,0.19,0.06,0,8,0
Consultant,17,Medium,Finance,Rural,41,1,0,0.07,0.01,0,3,1
Consultant,12,Large,Retail,Rural,13,0,0,0.13,0.06,0,12,0
Consultant,9,Medium,IT,Urban,25,0,1,0.15,0.06,0,22,1
Manager,14,Small,IT,Rural,14,0,0,0.01,0.08,0,23,0
Executive,15,Large,Manufacturing,Urban,49,0,0,0.13,0.08,0,2,1
Executive,23,Large,Finance,Rural,20,1,0,0.19,0.09,0,22,0
Assistant,9,Medium,Healthcare,Rural,38,0,0,0.11,0.03,0,7,0
